Unnamed: 0,title,source,date,emotion,theme,url
0,Article 1 - ICE Operation,Source 256,2019-12-29,fear,Legal Barriers,https://example.com/article_1
1,Article 2 - ICE Operation,Source 186,2023-12-12,anxious,Deportation Defense,https://example.com/article_2
2,Article 3 - ICE Operation,Source 57,2016-08-01,shock,Family Separation,https://example.com/article_3
3,Article 4 - ICE Operation,Source 202,2016-10-08,fear,Community Organizing,https://example.com/article_4
4,Article 5 - ICE Operation,Source 193,2018-01-22,surprise,Family Separation,https://example.com/article_5
5,Article 6 - ICE Operation,Source 193,2019-02-02,fear,Family Separation,https://example.com/article_6
6,Article 7 - ICE Operation,Source 272,2016-02-15,sadness,Family Separation,https://example.com/article_7
7,Article 8 - ICE Operation,Source 248,2020-11-02,surprise,Detention Conditions,https://example.com/article_8
8,Article 9 - ICE Operation,Source 187,2015-08-31,anger,Community Organizing,https://example.com/article_9
9,Article 10 - ICE Operation,Source 257,2025-01-30,anxious,Legal Barriers,https://example.com/article_10
10,Article 11 - ICE Operation,Source 83,2022-10-20,surprise,Community Organizing,https://example.com/article_11
11,Article 12 - ICE Operation,Source 84,2018-06-08,disgust,Legal Barriers,https://example.com/article_12
12,Article 13 - ICE Operation,Source 193,2020-04-23,disgust,Detention Conditions,https://example.com/article_13
13,Article 14 - ICE Operation,Source 285,2022-08-16,surprise,Family Separation,https://example.com/article_14
14,Article 15 - ICE Operation,Source 113,2018-03-15,sadness,Family Separation,https://example.com/article_15
15,Article 16 - ICE Operation,Source 283,2019-12-27,disgust,Deportation Defense,https://example.com/article_16
16,Article 17 - ICE Operation,Source 81,2025-12-05,anxious,Community Organizing,https://example.com/article_17
17,Article 18 - ICE Operation,Source 59,2025-08-20,anger,Community Organizing,https://example.com/article_18
18,Article 19 - ICE Operation,Source 310,2019-12-03,anger,Detention Conditions,https://example.com/article_19
19,Article 20 - ICE Operation,Source 65,2016-02-15,shock,Deportation Defense,https://example.com/article_20
20,Article 21 - ICE Operation,Source 275,2017-08-18,shock,Legal Barriers,https://example.com/article_21
21,Article 22 - ICE Operation,Source 52,2021-10-24,sadness,Deportation Defense,https://example.com/article_22
22,Article 23 - ICE Operation,Source 249,2017-03-18,disgust,Detention Conditions,https://example.com/article_23
23,Article 24 - ICE Operation,Source 177,2021-12-01,anger,Deportation Defense,https://example.com/article_24
24,Article 25 - ICE Operation,Source 258,2015-08-23,shock,Legal Barriers,https://example.com/article_25
25,Article 26 - ICE Operation,Source 79,2024-09-06,anger,Family Separation,https://example.com/article_26
26,Article 27 - ICE Operation,Source 92,2018-03-05,disgust,Family Separation,https://example.com/article_27
27,Article 28 - ICE Operation,Source 157,2019-07-06,disgust,Detention Conditions,https://example.com/article_28
28,Article 29 - ICE Operation,Source 288,2024-11-11,anxious,Detention Conditions,https://example.com/article_29
29,Article 30 - ICE Operation,Source 234,2016-08-19,fear,Detention Conditions,https://example.com/article_30
30,Article 31 - ICE Operation,Source 291,2022-09-17,shock,Community Organizing,https://example.com/article_31
31,Article 32 - ICE Operation,Source 201,2020-10-31,surprise,Detention Conditions,https://example.com/article_32
32,Article 33 - ICE Operation,Source 75,2020-01-05,shock,Legal Barriers,https://example.com/article_33
33,Article 34 - ICE Operation,Source 167,2025-02-23,sadness,Family Separation,https://example.com/article_34
34,Article 35 - ICE Operation,Source 49,2017-06-13,disgust,Deportation Defense,https://example.com/article_35
35,Article 36 - ICE Operation,Source 251,2015-11-01,surprise,Community Organizing,https://example.com/article_36
36,Article 37 - ICE Operation,Source 202,2025-08-25,fear,Deportation Defense,https://example.com/article_37
37,Article 38 - ICE Operation,Source 251,2015-05-10,fear,Deportation Defense,https://example.com/article_38
38,Article 39 - ICE Operation,Source 256,2020-03-16,fear,Community Organizing,https://example.com/article_39
39,Article 40 - ICE Operation,Source 75,2015-06-09,surprise,Detention Conditions,https://example.com/article_40
40,Article 41 - ICE Operation,Source 149,2020-03-17,anxious,Deportation Defense,https://example.com/article_41
41,Article 42 - ICE Operation,Source 63,2016-04-27,sadness,Legal Barriers,https://example.com/article_42
42,Article 43 - ICE Operation,Source 60,2025-05-09,disgust,Family Separation,https://example.com/article_43
43,Article 44 - ICE Operation,Source 86,2018-02-04,fear,Legal Barriers,https://example.com/article_44
44,Article 45 - ICE Operation,Source 318,2025-02-23,shock,Legal Barriers,https://example.com/article_45
45,Article 46 - ICE Operation,Source 307,2022-09-18,sadness,Community Organizing,https://example.com/article_46
46,Article 47 - ICE Operation,Source 146,2015-11-26,surprise,Community Organizing,https://example.com/article_47
47,Article 48 - ICE Operation,Source 116,2023-08-05,fear,Community Organizing,https://example.com/article_48
48,Article 49 - ICE Operation,Source 289,2021-06-23,anxious,Community Organizing,https://example.com/article_49
49,Article 50 - ICE Operation,Source 147,2016-02-25,fear,Legal Barriers,https://example.com/article_50
50,Article 51 - ICE Operation,Source 33,2015-10-25,anger,Legal Barriers,https://example.com/article_51
51,Article 52 - ICE Operation,Source 36,2017-10-02,surprise,Legal Barriers,https://example.com/article_52
52,Article 53 - ICE Operation,Source 55,2019-01-11,disgust,Family Separation,https://example.com/article_53
53,Article 54 - ICE Operation,Source 210,2025-07-30,sadness,Community Organizing,https://example.com/article_54
54,Article 55 - ICE Operation,Source 175,2023-10-05,fear,Family Separation,https://example.com/article_55
55,Article 56 - ICE Operation,Source 105,2020-04-20,fear,Detention Conditions,https://example.com/article_56
56,Article 57 - ICE Operation,Source 84,2021-06-09,anxious,Community Organizing,https://example.com/article_57
57,Article 58 - ICE Operation,Source 316,2017-07-10,shock,Family Separation,https://example.com/article_58
58,Article 59 - ICE Operation,Source 3,2021-05-19,disgust,Community Organizing,https://example.com/article_59
59,Article 60 - ICE Operation,Source 61,2023-08-06,surprise,Family Separation,https://example.com/article_60
60,Article 61 - ICE Operation,Source 48,2020-10-06,sadness,Community Organizing,https://example.com/article_61
61,Article 62 - ICE Operation,Source 210,2024-09-20,sadness,Deportation Defense,https://example.com/article_62
62,Article 63 - ICE Operation,Source 53,2020-01-21,shock,Community Organizing,https://example.com/article_63
63,Article 64 - ICE Operation,Source 193,2023-12-27,anger,Deportation Defense,https://example.com/article_64
64,Article 65 - ICE Operation,Source 173,2020-12-08,fear,Community Organizing,https://example.com/article_65
65,Article 66 - ICE Operation,Source 198,2024-08-14,fear,Deportation Defense,https://example.com/article_66
66,Article 67 - ICE Operation,Source 4,2017-05-14,surprise,Deportation Defense,https://example.com/article_67
67,Article 68 - ICE Operation,Source 159,2021-06-25,surprise,Deportation Defense,https://example.com/article_68
68,Article 69 - ICE Operation,Source 217,2017-12-05,anger,Legal Barriers,https://example.com/article_69
69,Article 70 - ICE Operation,Source 90,2024-10-29,disgust,Family Separation,https://example.com/article_70
70,Article 71 - ICE Operation,Source 20,2020-08-30,surprise,Family Separation,https://example.com/article_71
71,Article 72 - ICE Operation,Source 205,2022-10-22,surprise,Family Separation,https://example.com/article_72
72,Article 73 - ICE Operation,Source 178,2022-02-19,surprise,Legal Barriers,https://example.com/article_73
73,Article 74 - ICE Operation,Source 303,2016-03-26,shock,Community Organizing,https://example.com/article_74
74,Article 75 - ICE Operation,Source 82,2016-06-06,shock,Family Separation,https://example.com/article_75
75,Article 76 - ICE Operation,Source 130,2025-08-29,disgust,Community Organizing,https://example.com/article_76
76,Article 77 - ICE Operation,Source 45,2017-05-18,surprise,Legal Barriers,https://example.com/article_77
77,Article 78 - ICE Operation,Source 268,2016-10-12,fear,Family Separation,https://example.com/article_78
78,Article 79 - ICE Operation,Source 320,2022-12-30,fear,Community Organizing,https://example.com/article_79
79,Article 80 - ICE Operation,Source 283,2015-12-11,shock,Legal Barriers,https://example.com/article_80
80,Article 81 - ICE Operation,Source 221,2015-03-28,disgust,Family Separation,https://example.com/article_81
81,Article 82 - ICE Operation,Source 225,2021-08-06,disgust,Legal Barriers,https://example.com/article_82
82,Article 83 - ICE Operation,Source 82,2015-12-05,sadness,Community Organizing,https://example.com/article_83
83,Article 84 - ICE Operation,Source 152,2022-02-14,shock,Deportation Defense,https://example.com/article_84
84,Article 85 - ICE Operation,Source 294,2022-08-24,anger,Detention Conditions,https://example.com/article_85
85,Article 86 - ICE Operation,Source 154,2025-02-09,disgust,Detention Conditions,https://example.com/article_86
86,Article 87 - ICE Operation,Source 226,2022-05-01,surprise,Family Separation,https://example.com/article_87
87,Article 88 - ICE Operation,Source 176,2018-04-24,disgust,Community Organizing,https://example.com/article_88
88,Article 89 - ICE Operation,Source 230,2024-01-26,disgust,Legal Barriers,https://example.com/article_89
89,Article 90 - ICE Operation,Source 69,2025-10-29,shock,Deportation Defense,https://example.com/article_90
90,Article 91 - ICE Operation,Source 59,2020-04-23,disgust,Deportation Defense,https://example.com/article_91
91,Article 92 - ICE Operation,Source 142,2016-10-25,fear,Family Separation,https://example.com/article_92
92,Article 93 - ICE Operation,Source 116,2018-11-23,anxious,Deportation Defense,https://example.com/article_93
93,Article 94 - ICE Operation,Source 289,2018-07-02,disgust,Legal Barriers,https://example.com/article_94
94,Article 95 - ICE Operation,Source 132,2020-03-22,shock,Family Separation,https://example.com/article_95
95,Article 96 - ICE Operation,Source 208,2022-12-12,surprise,Deportation Defense,https://example.com/article_96
96,Article 97 - ICE Operation,Source 242,2025-10-08,anxious,Detention Conditions,https://example.com/article_97
97,Article 98 - ICE Operation,Source 291,2025-10-09,fear,Detention Conditions,https://example.com/article_98
98,Article 99 - ICE Operation,Source 281,2022-08-15,sadness,Deportation Defense,https://example.com/article_99
99,Article 100 - ICE Operation,Source 11,2022-11-01,surprise,Community Organizing,https://example.com/article_100
100,Article 101 - ICE Operation,Source 252,2024-04-27,fear,Legal Barriers,https://example.com/article_101
101,Article 102 - ICE Operation,Source 176,2023-08-08,shock,Family Separation,https://example.com/article_102
102,Article 103 - ICE Operation,Source 313,2021-07-18,fear,Legal Barriers,https://example.com/article_103
103,Article 104 - ICE Operation,Source 60,2025-11-30,surprise,Legal Barriers,https://example.com/article_104
104,Article 105 - ICE Operation,Source 282,2017-07-20,sadness,Detention Conditions,https://example.com/article_105
105,Article 106 - ICE Operation,Source 239,2022-06-15,surprise,Community Organizing,https://example.com/article_106
106,Article 107 - ICE Operation,Source 72,2021-03-07,fear,Deportation Defense,https://example.com/article_107
107,Article 108 - ICE Operation,Source 48,2020-09-06,disgust,Family Separation,https://example.com/article_108
108,Article 109 - ICE Operation,Source 82,2022-08-08,sadness,Family Separation,https://example.com/article_109
109,Article 110 - ICE Operation,Source 253,2025-05-20,shock,Deportation Defense,https://example.com/article_110
110,Article 111 - ICE Operation,Source 278,2020-07-31,shock,Legal Barriers,https://example.com/article_111
111,Article 112 - ICE Operation,Source 300,2015-01-18,anxious,Deportation Defense,https://example.com/article_112
112,Article 113 - ICE Operation,Source 165,2021-11-02,fear,Detention Conditions,https://example.com/article_113
113,Article 114 - ICE Operation,Source 48,2021-03-01,disgust,Family Separation,https://example.com/article_114
114,Article 115 - ICE Operation,Source 187,2015-11-28,surprise,Community Organizing,https://example.com/article_115
115,Article 116 - ICE Operation,Source 54,2018-06-02,shock,Deportation Defense,https://example.com/article_116
116,Article 117 - ICE Operation,Source 42,2017-02-06,shock,Family Separation,https://example.com/article_117
117,Article 118 - ICE Operation,Source 52,2023-05-17,fear,Deportation Defense,https://example.com/article_118
118,Article 119 - ICE Operation,Source 289,2021-06-17,fear,Family Separation,https://example.com/article_119
119,Article 120 - ICE Operation,Source 115,2021-12-21,disgust,Detention Conditions,https://example.com/article_120
120,Article 121 - ICE Operation,Source 171,2021-03-01,anxious,Legal Barriers,https://example.com/article_121
121,Article 122 - ICE Operation,Source 11,2022-04-18,fear,Detention Conditions,https://example.com/article_122
122,Article 123 - ICE Operation,Source 90,2016-03-08,fear,Community Organizing,https://example.com/article_123
123,Article 124 - ICE Operation,Source 89,2016-07-20,surprise,Detention Conditions,https://example.com/article_124
124,Article 125 - ICE Operation,Source 18,2019-02-20,anger,Family Separation,https://example.com/article_125
125,Article 126 - ICE Operation,Source 5,2022-09-11,anger,Community Organizing,https://example.com/article_126
126,Article 127 - ICE Operation,Source 172,2017-08-11,shock,Community Organizing,https://example.com/article_127
127,Article 128 - ICE Operation,Source 206,2024-01-26,disgust,Legal Barriers,https://example.com/article_128
128,Article 129 - ICE Operation,Source 271,2025-04-30,anxious,Detention Conditions,https://example.com/article_129
129,Article 130 - ICE Operation,Source 100,2018-10-10,sadness,Community Organizing,https://example.com/article_130
130,Article 131 - ICE Operation,Source 264,2016-07-17,sadness,Deportation Defense,https://example.com/article_131
131,Article 132 - ICE Operation,Source 313,2015-07-10,shock,Community Organizing,https://example.com/article_132
132,Article 133 - ICE Operation,Source 197,2016-12-21,sadness,Detention Conditions,https://example.com/article_133
133,Article 134 - ICE Operation,Source 132,2025-01-08,shock,Detention Conditions,https://example.com/article_134
134,Article 135 - ICE Operation,Source 141,2022-08-26,shock,Legal Barriers,https://example.com/article_135
135,Article 136 - ICE Operation,Source 242,2015-06-10,anxious,Community Organizing,https://example.com/article_136
136,Article 137 - ICE Operation,Source 250,2024-07-01,shock,Community Organizing,https://example.com/article_137
137,Article 138 - ICE Operation,Source 61,2015-10-21,sadness,Legal Barriers,https://example.com/article_138
138,Article 139 - ICE Operation,Source 20,2019-09-08,fear,Deportation Defense,https://example.com/article_139
139,Article 140 - ICE Operation,Source 70,2025-03-09,shock,Community Organizing,https://example.com/article_140
140,Article 141 - ICE Operation,Source 71,2018-09-03,fear,Legal Barriers,https://example.com/article_141
141,Article 142 - ICE Operation,Source 27,2017-07-20,anger,Community Organizing,https://example.com/article_142
142,Article 143 - ICE Operation,Source 97,2019-12-31,shock,Community Organizing,https://example.com/article_143
143,Article 144 - ICE Operation,Source 284,2018-03-14,fear,Legal Barriers,https://example.com/article_144
144,Article 145 - ICE Operation,Source 21,2017-05-06,anger,Family Separation,https://example.com/article_145
145,Article 146 - ICE Operation,Source 92,2024-09-30,anger,Deportation Defense,https://example.com/article_146
146,Article 147 - ICE Operation,Source 178,2022-04-22,anger,Legal Barriers,https://example.com/article_147
147,Article 148 - ICE Operation,Source 54,2022-06-30,anger,Family Separation,https://example.com/article_148
148,Article 149 - ICE Operation,Source 133,2025-05-15,surprise,Deportation Defense,https://example.com/article_149
149,Article 150 - ICE Operation,Source 46,2018-01-16,anxious,Deportation Defense,https://example.com/article_150
150,Article 151 - ICE Operation,Source 135,2021-06-16,surprise,Legal Barriers,https://example.com/article_151
151,Article 152 - ICE Operation,Source 27,2025-03-13,shock,Family Separation,https://example.com/article_152
152,Article 153 - ICE Operation,Source 93,2019-03-31,anger,Legal Barriers,https://example.com/article_153
153,Article 154 - ICE Operation,Source 67,2019-04-15,surprise,Detention Conditions,https://example.com/article_154
154,Article 155 - ICE Operation,Source 233,2022-05-18,anger,Deportation Defense,https://example.com/article_155
155,Article 156 - ICE Operation,Source 68,2016-08-26,surprise,Family Separation,https://example.com/article_156
156,Article 157 - ICE Operation,Source 209,2016-04-26,shock,Detention Conditions,https://example.com/article_157
157,Article 158 - ICE Operation,Source 57,2023-08-04,anger,Legal Barriers,https://example.com/article_158
158,Article 159 - ICE Operation,Source 195,2016-10-10,surprise,Legal Barriers,https://example.com/article_159
159,Article 160 - ICE Operation,Source 281,2016-01-18,fear,Family Separation,https://example.com/article_160
160,Article 161 - ICE Operation,Source 14,2016-07-29,fear,Community Organizing,https://example.com/article_161
161,Article 162 - ICE Operation,Source 313,2025-05-10,sadness,Legal Barriers,https://example.com/article_162
162,Article 163 - ICE Operation,Source 78,2023-03-02,surprise,Community Organizing,https://example.com/article_163
163,Article 164 - ICE Operation,Source 68,2019-02-21,anxious,Legal Barriers,https://example.com/article_164
164,Article 165 - ICE Operation,Source 197,2019-07-10,anxious,Community Organizing,https://example.com/article_165
165,Article 166 - ICE Operation,Source 291,2019-08-20,anxious,Legal Barriers,https://example.com/article_166
166,Article 167 - ICE Operation,Source 297,2021-07-25,anger,Family Separation,https://example.com/article_167
167,Article 168 - ICE Operation,Source 179,2021-12-30,anxious,Legal Barriers,https://example.com/article_168
168,Article 169 - ICE Operation,Source 97,2024-05-22,sadness,Legal Barriers,https://example.com/article_169
169,Article 170 - ICE Operation,Source 138,2021-07-08,anger,Deportation Defense,https://example.com/article_170
170,Article 171 - ICE Operation,Source 120,2024-08-06,surprise,Detention Conditions,https://example.com/article_171
171,Article 172 - ICE Operation,Source 108,2016-05-01,anger,Legal Barriers,https://example.com/article_172
172,Article 173 - ICE Operation,Source 309,2020-08-25,disgust,Deportation Defense,https://example.com/article_173
173,Article 174 - ICE Operation,Source 90,2019-11-06,surprise,Community Organizing,https://example.com/article_174
174,Article 175 - ICE Operation,Source 63,2019-04-15,anxious,Family Separation,https://example.com/article_175
175,Article 176 - ICE Operation,Source 123,2025-02-20,disgust,Family Separation,https://example.com/article_176
176,Article 177 - ICE Operation,Source 266,2024-06-30,fear,Legal Barriers,https://example.com/article_177
177,Article 178 - ICE Operation,Source 11,2020-11-15,disgust,Deportation Defense,https://example.com/article_178
178,Article 179 - ICE Operation,Source 93,2019-02-02,anxious,Deportation Defense,https://example.com/article_179
179,Article 180 - ICE Operation,Source 303,2024-07-25,anger,Family Separation,https://example.com/article_180
180,Article 181 - ICE Operation,Source 34,2018-04-23,anger,Legal Barriers,https://example.com/article_181
181,Article 182 - ICE Operation,Source 318,2016-02-15,surprise,Detention Conditions,https://example.com/article_182
182,Article 183 - ICE Operation,Source 309,2021-02-06,shock,Deportation Defense,https://example.com/article_183
183,Article 184 - ICE Operation,Source 59,2018-09-22,disgust,Family Separation,https://example.com/article_184
184,Article 185 - ICE Operation,Source 319,2022-06-13,surprise,Deportation Defense,https://example.com/article_185
185,Article 186 - ICE Operation,Source 90,2020-03-28,surprise,Detention Conditions,https://example.com/article_186
186,Article 187 - ICE Operation,Source 39,2023-08-03,disgust,Community Organizing,https://example.com/article_187
187,Article 188 - ICE Operation,Source 202,2019-08-02,shock,Detention Conditions,https://example.com/article_188
188,Article 189 - ICE Operation,Source 211,2023-08-27,anger,Legal Barriers,https://example.com/article_189
189,Article 190 - ICE Operation,Source 223,2016-08-31,fear,Community Organizing,https://example.com/article_190
190,Article 191 - ICE Operation,Source 312,2025-12-01,shock,Legal Barriers,https://example.com/article_191
191,Article 192 - ICE Operation,Source 18,2016-06-18,disgust,Family Separation,https://example.com/article_192
192,Article 193 - ICE Operation,Source 213,2023-01-22,anger,Community Organizing,https://example.com/article_193
193,Article 194 - ICE Operation,Source 94,2016-11-24,surprise,Legal Barriers,https://example.com/article_194
194,Article 195 - ICE Operation,Source 237,2021-09-19,fear,Deportation Defense,https://example.com/article_195
195,Article 196 - ICE Operation,Source 10,2024-03-02,anxious,Deportation Defense,https://example.com/article_196
196,Article 197 - ICE Operation,Source 206,2020-05-03,sadness,Detention Conditions,https://example.com/article_197
197,Article 198 - ICE Operation,Source 297,2024-01-14,anger,Legal Barriers,https://example.com/article_198
198,Article 199 - ICE Operation,Source 174,2015-07-03,anxious,Family Separation,https://example.com/article_199
199,Article 200 - ICE Operation,Source 212,2016-10-07,anxious,Family Separation,https://example.com/article_200
200,Article 201 - ICE Operation,Source 19,2024-12-21,anger,Family Separation,https://example.com/article_201
201,Article 202 - ICE Operation,Source 303,2024-12-25,anxious,Legal Barriers,https://example.com/article_202
202,Article 203 - ICE Operation,Source 23,2024-05-20,disgust,Detention Conditions,https://example.com/article_203
203,Article 204 - ICE Operation,Source 250,2017-01-12,anxious,Detention Conditions,https://example.com/article_204
204,Article 205 - ICE Operation,Source 67,2025-04-11,disgust,Deportation Defense,https://example.com/article_205
205,Article 206 - ICE Operation,Source 303,2024-04-11,anxious,Detention Conditions,https://example.com/article_206
206,Article 207 - ICE Operation,Source 7,2019-03-31,disgust,Detention Conditions,https://example.com/article_207
207,Article 208 - ICE Operation,Source 291,2024-10-25,anxious,Community Organizing,https://example.com/article_208
208,Article 209 - ICE Operation,Source 192,2018-03-06,anxious,Family Separation,https://example.com/article_209
209,Article 210 - ICE Operation,Source 199,2017-02-20,anxious,Family Separation,https://example.com/article_210
210,Article 211 - ICE Operation,Source 297,2022-02-01,anxious,Legal Barriers,https://example.com/article_211
211,Article 212 - ICE Operation,Source 218,2024-07-29,anxious,Detention Conditions,https://example.com/article_212
212,Article 213 - ICE Operation,Source 120,2023-06-05,anger,Community Organizing,https://example.com/article_213
213,Article 214 - ICE Operation,Source 70,2021-04-09,disgust,Legal Barriers,https://example.com/article_214
214,Article 215 - ICE Operation,Source 22,2020-04-19,surprise,Community Organizing,https://example.com/article_215
215,Article 216 - ICE Operation,Source 17,2018-08-08,surprise,Legal Barriers,https://example.com/article_216
216,Article 217 - ICE Operation,Source 221,2020-08-25,disgust,Family Separation,https://example.com/article_217
217,Article 218 - ICE Operation,Source 122,2019-06-10,fear,Legal Barriers,https://example.com/article_218
218,Article 219 - ICE Operation,Source 165,2018-02-28,anger,Legal Barriers,https://example.com/article_219
219,Article 220 - ICE Operation,Source 49,2017-04-20,fear,Legal Barriers,https://example.com/article_220
220,Article 221 - ICE Operation,Source 137,2021-03-17,fear,Community Organizing,https://example.com/article_221
221,Article 222 - ICE Operation,Source 94,2017-12-31,surprise,Family Separation,https://example.com/article_222
222,Article 223 - ICE Operation,Source 320,2021-05-13,anxious,Family Separation,https://example.com/article_223
223,Article 224 - ICE Operation,Source 247,2023-10-26,anger,Community Organizing,https://example.com/article_224
224,Article 225 - ICE Operation,Source 36,2025-03-02,shock,Family Separation,https://example.com/article_225
225,Article 226 - ICE Operation,Source 11,2020-06-24,sadness,Family Separation,https://example.com/article_226
226,Article 227 - ICE Operation,Source 281,2023-03-13,disgust,Deportation Defense,https://example.com/article_227
227,Article 228 - ICE Operation,Source 172,2023-03-21,shock,Detention Conditions,https://example.com/article_228
228,Article 229 - ICE Operation,Source 189,2021-11-24,anger,Legal Barriers,https://example.com/article_229
229,Article 230 - ICE Operation,Source 5,2024-02-06,fear,Family Separation,https://example.com/article_230
230,Article 231 - ICE Operation,Source 169,2025-09-12,shock,Deportation Defense,https://example.com/article_231
231,Article 232 - ICE Operation,Source 224,2023-01-22,anxious,Family Separation,https://example.com/article_232
232,Article 233 - ICE Operation,Source 259,2019-04-20,disgust,Community Organizing,https://example.com/article_233
233,Article 234 - ICE Operation,Source 147,2018-11-28,shock,Legal Barriers,https://example.com/article_234
234,Article 235 - ICE Operation,Source 236,2020-10-16,shock,Detention Conditions,https://example.com/article_235
235,Article 236 - ICE Operation,Source 266,2024-11-29,anxious,Legal Barriers,https://example.com/article_236
236,Article 237 - ICE Operation,Source 199,2018-01-12,disgust,Legal Barriers,https://example.com/article_237
237,Article 238 - ICE Operation,Source 112,2017-04-28,shock,Legal Barriers,https://example.com/article_238
238,Article 239 - ICE Operation,Source 287,2019-11-12,disgust,Detention Conditions,https://example.com/article_239
239,Article 240 - ICE Operation,Source 276,2023-10-10,anxious,Detention Conditions,https://example.com/article_240
240,Article 241 - ICE Operation,Source 69,2018-12-31,shock,Legal Barriers,https://example.com/article_241
241,Article 242 - ICE Operation,Source 4,2022-04-27,anxious,Legal Barriers,https://example.com/article_242
242,Article 243 - ICE Operation,Source 187,2022-08-03,anger,Legal Barriers,https://example.com/article_243
243,Article 244 - ICE Operation,Source 259,2024-11-25,anger,Deportation Defense,https://example.com/article_244
244,Article 245 - ICE Operation,Source 78,2023-09-19,anger,Community Organizing,https://example.com/article_245
245,Article 246 - ICE Operation,Source 14,2024-03-14,shock,Detention Conditions,https://example.com/article_246
246,Article 247 - ICE Operation,Source 70,2024-08-03,fear,Detention Conditions,https://example.com/article_247
247,Article 248 - ICE Operation,Source 194,2024-07-24,anger,Family Separation,https://example.com/article_248
248,Article 249 - ICE Operation,Source 282,2025-01-05,shock,Detention Conditions,https://example.com/article_249
249,Article 250 - ICE Operation,Source 1,2016-08-11,anger,Legal Barriers,https://example.com/article_250
250,Article 251 - ICE Operation,Source 240,2024-02-20,anger,Family Separation,https://example.com/article_251
251,Article 252 - ICE Operation,Source 18,2024-11-24,anger,Deportation Defense,https://example.com/article_252
252,Article 253 - ICE Operation,Source 281,2016-09-12,surprise,Deportation Defense,https://example.com/article_253
253,Article 254 - ICE Operation,Source 240,2018-04-14,shock,Community Organizing,https://example.com/article_254
254,Article 255 - ICE Operation,Source 272,2021-09-11,anxious,Family Separation,https://example.com/article_255
255,Article 256 - ICE Operation,Source 298,2019-09-22,anger,Deportation Defense,https://example.com/article_256
256,Article 257 - ICE Operation,Source 22,2016-10-31,fear,Community Organizing,https://example.com/article_257
257,Article 258 - ICE Operation,Source 239,2024-08-15,anger,Family Separation,https://example.com/article_258
258,Article 259 - ICE Operation,Source 320,2018-11-08,sadness,Community Organizing,https://example.com/article_259
259,Article 260 - ICE Operation,Source 93,2022-08-25,fear,Community Organizing,https://example.com/article_260
260,Article 261 - ICE Operation,Source 100,2019-07-12,anger,Community Organizing,https://example.com/article_261
